Date,Time,Tweet,Client,Client Simplified,,,,,,,,,,,,,,,
10/28/16,9:30:55 PM,"@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClinton's email server after new discovery!""""@piersmorgan: BOMBSHELL: FBI reopening its investigation into HillaryClinton's email server after new discovery!""",Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/28/16,9:28:46 PM,Just landed in Iowa - speaking soon!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/28/16,3:20:22 PM,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp https://t.co/GtPkj4xIz6,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/28/16,1:24:08 PM,"Just out: Neera Tanden, Hillary Clinton adviser said, “Israel is depressing.” I think Israel is inspiring!",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/28/16,1:23:39 PM,RT @DRUDGE_REPORT: WSJ: The Cold Clinton Reality... https://t.co/udWj5mXcA6,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/28/16,1:04:59 PM,Heading to New Hampshire. Will be talking about the disaster known as ObamaCare!,Twitter for Android,Twitter for Android,,,,,,,,,,,,,,,
10/28/16,11:53:19 AM,"If my people said the things about me that Podesta & Hillary's people said about her, I would fire them out of self respect. Bad instincts""""""f my people sa""",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/28/16,11:39:01 AM,"Join me tonight in Cedar Rapids, Iowa at 7pm: https://t.co/QWaEJpR79n Phoenix, Arizona tomorrow night at 3pm: https://t.co/0LjE9qbNLh",Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
10/28/16,11:27:05 AM,@Jmoschetti1363: @Johnatsrs1949 FBI must be outraged that their hands r tied she has no regard or t secret service, FBI," or (Dallas)police""""""@Jmoschetti1363: @Johnatsrs1949 FBI must be outraged that their hands r tied she has no regard or t secret service", FBI," or (Dallas)police""""""""",Twitter for Android,Twitter for Android,,,,,,,,,,,
10/28/16,10:48:59 AM,RT @DRUDGE_REPORT: WSJ: Grifters-in-Chief... https://t.co/mPFocMuBgu,Twitter for iPhone,Twitter for iPhone,,,,,,,,,,,,,,,
